split,path,label_idx,label,kmeans_cluster,gmm_cluster,main_cluster,dim1,dim2
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_the-seasons-spring-1.jpg,0,ArtDeco,3,4,3,4.02698,0.16239062
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_the-seasons-summer-1.jpg,0,ArtDeco,1,0,1,-1.9252023,3.0864408
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_the-seven-deadly-sins-avarice.jpg,0,ArtDeco,0,5,0,-3.3962767,2.4139223
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_the-seven-deadly-sins-pride.jpg,0,ArtDeco,6,5,6,-2.6093197,2.5622683
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_the-zodiac-leo.jpg,0,ArtDeco,1,5,1,-1.5374931,3.2947447
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_top-hats.jpg,0,ArtDeco,3,4,3,4.214316,-0.24086386
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_winter-s-arrival.jpg,0,ArtDeco,2,5,2,-1.8768102,1.2028214
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/jean-dupas_where-is-this-bower-beside-the-silver-thames-1930.jpg,0,ArtDeco,6,5,6,-0.5815561,4.2177167
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/john-vassos_illustration-for-oscar-wilde-s-salome-1927-2.jpg,0,ArtDeco,1,5,1,-1.464543,3.7304976
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/john-vassos_illustration-for-oscar-wilde-s-salome-1927-3.jpg,0,ArtDeco,7,3,7,2.3959758,-0.08316061
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/john-vassos_modern-abstract-1.jpg,0,ArtDeco,1,5,1,-1.7946544,1.9839742
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/john-vassos_modern-abstract.jpg,0,ArtDeco,1,4,1,3.0116215,-0.74461406
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/john-vassos_untitled-1935-5.jpg,0,ArtDeco,1,5,1,-1.0081326,2.8831487
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/lawren-harris_ice-house-coldwell-lake-superior-1923.jpg,0,ArtDeco,7,3,7,1.1508735,2.1190224
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/lawren-harris_lake-and-mountains-1928.jpg,0,ArtDeco,3,4,3,4.634917,1.1718146
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/raphael-delorme_sc-ne-mythologique.jpg,0,ArtDeco,7,3,7,1.1755786,1.5867195
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/raphael-delorme_the-dancer.jpg,0,ArtDeco,2,3,2,2.0177555,-0.8023421
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/raphael-delorme_vitalit.jpg,0,ArtDeco,7,2,7,-0.5345012,2.1030424
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/tamara-de-lempicka_calla-lillies-1941.jpg,0,ArtDeco,7,2,7,-0.0792524,-0.27739894
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/tamara-de-lempicka_portrait-of-the-marquis-d-afflito-1925.jpg,0,ArtDeco,5,1,5,2.844853,-0.1755737
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/tamara-de-lempicka_still-life-with-grapes.jpg,0,ArtDeco,2,2,2,-0.61796594,0.9352936
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/tamara-de-lempicka_wide-brimmed-hat-1933.jpg,0,ArtDeco,0,5,0,-3.2691445,2.7913575
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/zinaida-serebriakova_basket-of-apples-1934.jpg,0,ArtDeco,2,7,2,0.6642339,1.4392701
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/zinaida-serebriakova_basket-with-grapes-and-peaches-1931.jpg,0,ArtDeco,6,5,6,-0.48109022,3.9109004
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/zinaida-serebriakova_portrait-of-e-i-zolotarevskii-in-childhood-1922.jpg,0,ArtDeco,5,1,5,3.0527904,-0.9234626
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/zinaida-serebriakova_still-life-with-a-basket-of-pears-1932.jpg,0,ArtDeco,4,7,4,1.0963689,1.5381875
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/zinaida-serebriakova_still-life-with-apples-and-a-round-bread-1948.jpg,0,ArtDeco,5,7,5,1.5841191,1.0232505
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/zinaida-serebriakova_still-life-with-asparagus-and-strawberries-1932.jpg,0,ArtDeco,5,7,5,1.0471752,0.3063508
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/albert-gleizes_femme-cubiste-1921.jpg,1,Cubism,7,3,7,-0.0031611135,-0.14687324
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/albert-gleizes_new-york-1915.jpg,1,Cubism,5,1,5,1.6081221,-0.19217509
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/albert-gleizes_on-a-sailboat.jpg,1,Cubism,3,4,3,4.3654737,-1.5677495
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aleksandra-ekster_bridge-sevres-1912.jpg,1,Cubism,0,5,0,-2.5258436,2.7498825
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aleksandra-ekster_city-1913.jpg,1,Cubism,0,5,0,-2.8267927,2.2271447
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aleksandra-ekster_city-at-night-1919.jpg,1,Cubism,3,3,3,2.7428877,-0.6357922
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aleksandra-ekster_costume-design-1.jpg,1,Cubism,3,4,3,2.9188867,0.17189774
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aleksandra-ekster_costume-design-for-modern-khlestakov-1921.jpg,1,Cubism,3,4,3,4.800248,1.3790805
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aleksandra-ekster_costume-design-for-salome-1917.jpg,1,Cubism,3,4,3,3.2241478,-0.5536784
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aleksandra-ekster_florence-1915.jpg,1,Cubism,2,3,2,2.361628,-1.1433679
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aleksandra-ekster_interno-cubista-1912.jpg,1,Cubism,2,7,2,2.5008004,-0.93419003
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aleksandra-ekster_romeo-and-juliet-costume-for-first-mask-at-ball-1921.jpg,1,Cubism,0,5,0,-2.997358,2.5227394
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aleksandra-ekster_still-life-1913.jpg,1,Cubism,4,3,4,-0.018514743,-1.0353527
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aleksandra-ekster_still-life-bowl-of-cherries-1914.jpg,1,Cubism,7,3,7,2.7571187,-0.7786892
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aleksandra-ekster_still-life-with-egg-1915.jpg,1,Cubism,0,5,0,-3.6362448,2.5420053
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aleksandra-ekster_three-female-figures-1910.jpg,1,Cubism,4,3,4,2.3300664,0.47135854
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aleksandra-ekster_venice-1915.jpg,1,Cubism,3,4,3,4.2292285,-1.6004007
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aleksandra-ekster_view-of-paris-1912.jpg,1,Cubism,7,2,7,0.9870174,1.9074402
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aleksandra-ekster_view-of-the-bridge-1938-1.jpg,1,Cubism,3,1,3,3.6489818,0.06267923
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aleksandra-ekster_view-of-the-bridge-1938.jpg,1,Cubism,6,5,6,-1.3808553,3.949651
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aleksandra-ekster_wine-1914.jpg,1,Cubism,7,3,7,1.144068,0.24336602
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aleksandra-ekster_women-s-costume-for-the-spanish-dance-1920-2.jpg,1,Cubism,5,1,5,3.323072,-1.0676937
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/amadeo-de-souza-cardoso_basque-landscape-1914.jpg,1,Cubism,4,3,4,0.0075325053,-0.9190862
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/amadeo-de-souza-cardoso_composition-with-guitar.jpg,1,Cubism,2,3,2,0.5053977,-0.47024155
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/amadeo-de-souza-cardoso_untitled-boats-1913.jpg,1,Cubism,7,7,7,0.37757254,0.66029507
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/andr-lhote_le-port-de-bordeaux-1915.jpg,1,Cubism,7,2,7,-0.19554411,1.8100818
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/andr-lhote_sur-la-terrasse-1945.jpg,1,Cubism,7,3,7,-0.12835586,-0.43038747
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/andre-derain_a-village.jpg,1,Cubism,4,6,4,2.3196204,1.9514322
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/andre-derain_vista-de-saint-paul-de-vence-1910.jpg,1,Cubism,4,6,4,2.2912114,2.085063
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/andre-masson_birds-and-masks.jpg,1,Cubism,2,7,2,1.1712545,0.599399
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/andre-masson_reclining-nude-1956.jpg,1,Cubism,1,0,1,-1.5508938,3.056089
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aristarkh-lentulov_churches-new-jerusalem-1917.jpg,1,Cubism,4,6,4,-0.06236618,-0.74664855
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aristarkh-lentulov_gursuf-1913.jpg,1,Cubism,2,5,2,-0.1485773,3.1015446
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aristarkh-lentulov_landscape-with-dry-trees-and-tall-buildings-1920.jpg,1,Cubism,4,7,4,1.8439094,1.3238
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aristarkh-lentulov_landscape-with-white-house-and-the-yellow-gate-1922.jpg,1,Cubism,4,7,4,-0.383074,-0.9790693
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aristarkh-lentulov_saint-basil-s-cathedral-1913.jpg,1,Cubism,2,3,2,2.7125733,-0.9875493
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aristarkh-lentulov_the-gate-with-a-tower-new-jerusalem.jpg,1,Cubism,5,3,5,2.030813,-0.85794616
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aristarkh-lentulov_tverskoi-boulevard-1917.jpg,1,Cubism,4,7,4,2.3565698,-0.782997
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aristarkh-lentulov_victory-battle-1914.jpg,1,Cubism,7,3,7,0.43604565,0.34850618
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/arshile-gorky_the-raven-composition-no-3.jpg,1,Cubism,7,2,7,-0.6130076,1.3005371
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/auguste-herbin_landscape-in-ceret-1913.jpg,1,Cubism,2,7,2,1.2298596,-0.2019849
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/auguste-herbin_villaggio-di-collina.jpg,1,Cubism,0,5,0,-3.1050506,1.982551
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/carlos-merida_faces.jpg,1,Cubism,1,0,1,-2.5789573,2.9103758
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/charles-sheeler_still-life-1925.jpg,1,Cubism,1,5,1,-1.1956668,2.055079
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/conrad-marca-relli_la-citt-1951.jpg,1,Cubism,6,0,6,-0.6385873,4.1482363
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/corneliu-michailescu_harlequins.jpg,1,Cubism,7,2,7,-0.55295444,1.2076244
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/corneliu-michailescu_still-life-with-fruits.jpg,1,Cubism,7,2,7,-0.120367885,0.95361596
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/corneliu-michailescu_still-life-with-grapes-and-carafe.jpg,1,Cubism,4,6,4,1.4231502,1.4945146
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/david-bomberg_racehorses-1913.jpg,1,Cubism,5,7,5,1.2976876,0.31954098
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/david-burliuk_advent-of-spring-and-summer-1914.jpg,1,Cubism,7,2,7,1.1127048,2.045527
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/david-burliuk_at-the-siberian-village-1931.jpg,1,Cubism,6,5,6,-0.67195445,4.200984
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/david-burliuk_bridge-repetition-of-composition-of-1911.jpg,1,Cubism,1,3,1,-1.3479223,1.8085467
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/david-burliuk_broadway-new-york.jpg,1,Cubism,7,3,7,0.9738274,1.0992823
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/david-burliuk_cubo-futurist-composition.jpg,1,Cubism,7,7,7,0.58075523,0.9506424
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/david-burliuk_farmer-and-his-wife-out-for-a-stroll.jpg,1,Cubism,2,7,2,0.11045685,0.7917637
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/david-burliuk_futuristic-composition.jpg,1,Cubism,7,3,7,0.48948845,1.2677119
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/david-burliuk_horses-1908-1.jpg,1,Cubism,4,4,4,2.4268346,2.1555042
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/david-burliuk_japan-and-america-1921.jpg,1,Cubism,6,5,6,-0.9406549,4.064613
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/david-burliuk_landscape-with-a-carriage-and-a-mill-a-landscape-from-four-points-of-view.jpg,1,Cubism,2,7,2,-0.5782988,0.67356426
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/david-burliuk_sunrise-on-the-steppes.jpg,1,Cubism,2,7,2,1.9266803,-0.59018284
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/david-burliuk_three-woman-1930.jpg,1,Cubism,2,7,2,-0.031149508,0.86428064
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/david-burliuk_untitled-view-of-village-from-all-sides.jpg,1,Cubism,7,2,7,0.08821382,0.3841865
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/david-burliuk_vase-with-flowers.jpg,1,Cubism,7,3,7,0.21605304,-0.47057042
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/david-burliuk_wind.jpg,1,Cubism,2,7,2,0.15511769,0.71548915
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/david-burliuk_woman-with-four-eyes-and-hen-1912.jpg,1,Cubism,2,7,2,1.1672317,-0.30925262
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/david-burliuk_workers-1922.jpg,1,Cubism,4,7,4,-0.15947323,-1.364394
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/diego-rivera_view-of-toledo-1912.jpg,1,Cubism,7,2,7,-0.010346067,-0.13790603
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/diego-rivera_zapatista-landscape-the-guerrilla-1915.jpg,1,Cubism,7,3,7,0.061808676,-0.5381054
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/el-lissitzky_flying-sun-1916.jpg,1,Cubism,7,2,7,-0.24414113,1.8999635
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/el-lissitzky_reminiscence-of-ravenna-1914.jpg,1,Cubism,7,5,7,-0.3196409,3.9146547
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/fernand-leger_a-b-c-1927.jpg,1,Cubism,6,5,6,-0.9796673,4.144716
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/fernand-leger_composition-1919.jpg,1,Cubism,2,3,2,3.036791,-0.501195
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/fernand-leger_contrast-of-forms-1913.jpg,1,Cubism,2,7,2,-0.4153109,0.03528495
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/fernand-leger_fishermen-1921.jpg,1,Cubism,2,7,2,-0.3548328,0.95652616
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/fernand-leger_the-great-tug-1923.jpg,1,Cubism,6,5,6,-0.39347398,2.5495863
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/fernand-leger_the-house-under-the-trees-1913.jpg,1,Cubism,7,3,7,1.6058362,-0.048086908
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/fernand-leger_the-mask-negro.jpg,1,Cubism,6,5,6,-0.6872689,4.277747
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/fernand-leger_three-characters-1924.jpg,1,Cubism,0,5,0,-3.2528276,1.9695854
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/franz-marc_in-the-rain-1912.jpg,1,Cubism,5,7,5,1.4902419,-0.31922314
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/franz-marc_stables-1913.jpg,1,Cubism,2,2,2,-0.3062012,0.89239204
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/franz-marc_the-enchanted-mill-1913.jpg,1,Cubism,4,3,4,2.399177,-1.2698122
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/georges-braque_cafe-bar-1919.jpg,1,Cubism,5,1,5,2.7214346,-0.29999402
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/georges-braque_checkerboard-tivoli-cinema-1913.jpg,1,Cubism,2,7,2,-0.09927032,1.5997268
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/georges-braque_plate-and-fruit-dish-1908.jpg,1,Cubism,2,2,2,-1.2175583,1.5800716
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/georges-braque_still-life-with-le-jour-1929.jpg,1,Cubism,2,7,2,0.16920514,0.7358738
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/georges-braque_the-musician-s-table-1913.jpg,1,Cubism,2,7,2,-1.3339611,1.1203674
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/georges-braque_violin-and-sheet-music-on-a-table-petit-oiseau-1913.jpg,1,Cubism,0,0,0,-2.0876782,2.114921
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/gino-severini_flowers-and-masks-1930.jpg,1,Cubism,0,5,0,-3.2338653,2.3461013
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/giuseppe-santomaso_la-graticola-1948.jpg,1,Cubism,6,5,6,-0.40152818,2.8320093
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/gosta-adrian-nilsson_phone-box-i-1915.jpg,1,Cubism,5,3,5,2.6746233,-0.29945776
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/gosta-adrian-nilsson_still-life-1923.jpg,1,Cubism,0,5,0,-3.5349538,2.1880634
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/gosta-adrian-nilsson_stockholm-fr-n-atelj-n-1919.jpg,1,Cubism,5,1,5,2.2018027,-0.033757765
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/henri-laurens_composition-1916.jpg,1,Cubism,0,5,0,-2.788642,2.0629506
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/henri-laurens_femme-allong-e-au-bras-lev-1950.jpg,1,Cubism,1,0,1,-1.5969105,3.323767
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/henri-laurens_la-grande-musicienne-1937.jpg,1,Cubism,5,3,5,2.5542703,0.27638656
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/jacques-villon_composition-1947.jpg,1,Cubism,1,5,1,-2.4125106,2.5297353
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/jacques-villon_rider-in-the-ring-1952.jpg,1,Cubism,1,0,1,-1.6317446,3.4428284
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/jean-hugo_table-de-jeu-1919.jpg,1,Cubism,5,1,5,2.2831864,0.38509077
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/jean-metzinger_the-village-1918.jpg,1,Cubism,5,3,5,1.8428788,-0.10710109
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/johannes-itten_der-bachs-nger-helge-lindberg-1916.jpg,1,Cubism,0,5,0,-3.389358,2.414289
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/johannes-sveinsson-kjarval_hvitasunnudagr-1919.jpg,1,Cubism,2,7,2,1.1792802,1.1530454
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/john-marin_stonington-maine-1923.jpg,1,Cubism,1,0,1,-1.7209492,3.230974
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/juan-gris_a-pot-of-geraniums-1915.jpg,1,Cubism,5,3,5,1.6737701,0.007188517
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/juan-gris_bottle-and-glass-on-a-table-1914.jpg,1,Cubism,2,7,2,-1.7115502,1.2290285
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/juan-gris_bottle-glass-and-newspaper.jpg,1,Cubism,3,1,3,3.5820363,-0.90518117
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/juan-gris_clown.jpg,1,Cubism,2,3,2,2.706361,-1.1809981
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/juan-gris_figs.jpg,1,Cubism,2,7,2,1.6469668,-1.0635899
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/juan-gris_flowers-1914.jpg,1,Cubism,4,3,4,1.4768674,-0.17516522
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/juan-gris_fruit-bowl-and-fruit.jpg,1,Cubism,3,1,3,3.1451564,-0.8467725
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/juan-gris_fruit-bowl-with-bottle.jpg,1,Cubism,6,5,6,-0.79493326,3.9917138
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/juan-gris_glass-and-bottle.jpg,1,Cubism,5,1,5,3.1884596,-0.5201916
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/juan-gris_grapes-1913.jpg,1,Cubism,5,7,5,2.2527423,-1.1966085
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/juan-gris_guitar-and-pipe-1913.jpg,1,Cubism,2,7,2,0.9271253,-1.1950189
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/juan-gris_harlequin-at-a-table-1919.jpg,1,Cubism,5,1,5,2.5808766,-0.87543344
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/juan-gris_pears-and-grapes-on-a-table-1913.jpg,1,Cubism,2,7,2,1.4251584,-1.1936224
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/juan-gris_tea-cups-1914.jpg,1,Cubism,5,3,5,2.1685266,1.5900191
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/juan-gris_the-bottle-of-anis-del-mono-1914.jpg,1,Cubism,4,3,4,-0.1341063,-1.3866022
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/juan-gris_the-mountain-le-canigou-1921.jpg,1,Cubism,6,5,6,-0.8650828,3.6572158
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/juan-gris_the-reader-1926.jpg,1,Cubism,2,3,2,2.0224314,-1.2243705
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/juan-gris_the-three-masks-1923.jpg,1,Cubism,3,4,3,4.64973,0.71509683
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/juan-gris_the-violin-1914.jpg,1,Cubism,5,1,5,1.4005114,-1.2747267
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/juan-gris_tobacco-newspaper-and-bottle-of-wine-1914.jpg,1,Cubism,5,1,5,1.8969452,-0.8230554
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/julio-gonzalez_fantastic-figure-1937.jpg,1,Cubism,1,0,1,-1.0791701,2.0392938
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/jury-annenkov_portrait-of-vsevolod-meyerhold-1.jpg,1,Cubism,0,0,0,-1.503248,2.1637053
