split,path,label_idx,label,kmeans_cluster,gmm_cluster,main_cluster,dim1,dim2,pca_denoised_cluster,final_cluster,pca_umap_dim1,pca_umap_dim2
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_stolen-kisses.jpg,0,ArtDeco,3,5,3,3.11712,-1.1375842,5,5,-0.14791283,4.829422
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_swept-away.jpg,0,ArtDeco,5,3,5,2.264315,-0.57263416,0,0,2.4519067,-1.1900624
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_the-aces-hearts.jpg,0,ArtDeco,0,5,0,-3.5011091,2.5589216,3,3,0.27371126,4.9916706
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_the-kiss.jpg,0,ArtDeco,1,0,1,-2.2466755,2.9457502,4,4,-1.4343802,4.0335
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_the-seasons-spring-1.jpg,0,ArtDeco,3,4,3,4.02698,0.16239062,5,5,6.9671154,0.01880651
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_the-seasons-summer-1.jpg,0,ArtDeco,1,0,1,-1.9252023,3.0864408,4,4,-1.4406024,4.0007195
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_the-seven-deadly-sins-avarice.jpg,0,ArtDeco,0,5,0,-3.3962767,2.4139223,5,5,0.4972517,4.697746
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_the-seven-deadly-sins-pride.jpg,0,ArtDeco,6,5,6,-2.6093197,2.5622683,5,5,0.1772299,5.02189
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_the-zodiac-leo.jpg,0,ArtDeco,1,5,1,-1.5374931,3.2947447,1,1,-1.9556727,3.0091476
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_top-hats.jpg,0,ArtDeco,3,4,3,4.214316,-0.24086386,5,5,6.9254737,0.32809997
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/erte_winter-s-arrival.jpg,0,ArtDeco,2,5,2,-1.8768102,1.2028214,7,7,1.8184068,0.9002123
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/jean-dupas_where-is-this-bower-beside-the-silver-thames-1930.jpg,0,ArtDeco,6,5,6,-0.5815561,4.2177167,1,1,-2.1484048,2.3505566
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/john-vassos_illustration-for-oscar-wilde-s-salome-1927-2.jpg,0,ArtDeco,1,5,1,-1.464543,3.7304976,5,5,-0.28637433,4.5406003
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/john-vassos_illustration-for-oscar-wilde-s-salome-1927-3.jpg,0,ArtDeco,7,3,7,2.3959758,-0.08316061,7,7,3.9908965,-1.4395968
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/john-vassos_modern-abstract-1.jpg,0,ArtDeco,1,5,1,-1.7946544,1.9839742,3,3,-0.66627014,4.082788
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/john-vassos_modern-abstract.jpg,0,ArtDeco,1,4,1,3.0116215,-0.74461406,5,5,3.4938195,0.50691164
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/john-vassos_untitled-1935-5.jpg,0,ArtDeco,1,5,1,-1.0081326,2.8831487,6,6,1.2774017,2.720353
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/lawren-harris_ice-house-coldwell-lake-superior-1923.jpg,0,ArtDeco,7,3,7,1.1508735,2.1190224,6,6,0.484003,-0.90892273
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/lawren-harris_lake-and-mountains-1928.jpg,0,ArtDeco,3,4,3,4.634917,1.1718146,2,2,7.3354836,2.6474092
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/raphael-delorme_sc-ne-mythologique.jpg,0,ArtDeco,7,3,7,1.1755786,1.5867195,0,0,1.22705,-0.30920786
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/raphael-delorme_the-dancer.jpg,0,ArtDeco,2,3,2,2.0177555,-0.8023421,7,7,3.9398544,-0.34058705
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/raphael-delorme_vitalit.jpg,0,ArtDeco,7,2,7,-0.5345012,2.1030424,4,4,-0.9763639,-0.050576538
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/tamara-de-lempicka_calla-lillies-1941.jpg,0,ArtDeco,7,2,7,-0.0792524,-0.27739894,0,0,1.2899567,-1.2505459
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/tamara-de-lempicka_portrait-of-the-marquis-d-afflito-1925.jpg,0,ArtDeco,5,1,5,2.844853,-0.1755737,7,7,5.510595,0.94828415
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/tamara-de-lempicka_still-life-with-grapes.jpg,0,ArtDeco,2,2,2,-0.61796594,0.9352936,0,0,0.7048455,1.2012421
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/tamara-de-lempicka_wide-brimmed-hat-1933.jpg,0,ArtDeco,0,5,0,-3.2691445,2.7913575,3,3,-0.120619915,4.8364615
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/zinaida-serebriakova_basket-of-apples-1934.jpg,0,ArtDeco,2,7,2,0.6642339,1.4392701,7,7,1.7340856,0.2918021
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/zinaida-serebriakova_basket-with-grapes-and-peaches-1931.jpg,0,ArtDeco,6,5,6,-0.48109022,3.9109004,1,1,-1.9521043,1.9273312
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/zinaida-serebriakova_portrait-of-e-i-zolotarevskii-in-childhood-1922.jpg,0,ArtDeco,5,1,5,3.0527904,-0.9234626,7,7,5.5584874,-0.572407
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/zinaida-serebriakova_still-life-with-a-basket-of-pears-1932.jpg,0,ArtDeco,4,7,4,1.0963689,1.5381875,6,6,1.9590292,1.0668291
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/zinaida-serebriakova_still-life-with-apples-and-a-round-bread-1948.jpg,0,ArtDeco,5,7,5,1.5841191,1.0232505,6,6,3.537151,1.2565744
train,/content/bostongene_project/image_classification_project/data/processed/train/ArtDeco/zinaida-serebriakova_still-life-with-asparagus-and-strawberries-1932.jpg,0,ArtDeco,5,7,5,1.0471752,0.3063508,7,7,2.0374346,-0.25987422
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/albert-gleizes_femme-cubiste-1921.jpg,1,Cubism,7,3,7,-0.0031611135,-0.14687324,0,0,3.1520948,1.6115569
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/albert-gleizes_new-york-1915.jpg,1,Cubism,5,1,5,1.6081221,-0.19217509,7,7,5.033113,1.1933599
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/albert-gleizes_on-a-sailboat.jpg,1,Cubism,3,4,3,4.3654737,-1.5677495,5,5,7.046,-0.4368723
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aleksandra-ekster_bridge-sevres-1912.jpg,1,Cubism,0,5,0,-2.5258436,2.7498825,3,3,-0.0027707156,4.029487
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aleksandra-ekster_city-1913.jpg,1,Cubism,0,5,0,-2.8267927,2.2271447,3,3,0.43131465,3.56541
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aleksandra-ekster_city-at-night-1919.jpg,1,Cubism,3,3,3,2.7428877,-0.6357922,7,7,4.3377767,-1.0700753
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aleksandra-ekster_costume-design-1.jpg,1,Cubism,3,4,3,2.9188867,0.17189774,7,7,5.526717,0.21915677
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aleksandra-ekster_costume-design-for-modern-khlestakov-1921.jpg,1,Cubism,3,4,3,4.800248,1.3790805,5,5,7.3591905,2.9172087
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aleksandra-ekster_costume-design-for-salome-1917.jpg,1,Cubism,3,4,3,3.2241478,-0.5536784,5,5,6.252913,-0.23562282
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aleksandra-ekster_florence-1915.jpg,1,Cubism,2,3,2,2.361628,-1.1433679,7,7,4.139672,-0.1972078
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aleksandra-ekster_interno-cubista-1912.jpg,1,Cubism,2,7,2,2.5008004,-0.93419003,7,7,2.4776232,0.7012121
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aleksandra-ekster_romeo-and-juliet-costume-for-first-mask-at-ball-1921.jpg,1,Cubism,0,5,0,-2.997358,2.5227394,3,3,0.6873805,3.1858127
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aleksandra-ekster_still-life-1913.jpg,1,Cubism,4,3,4,-0.018514743,-1.0353527,0,0,1.1399037,-0.8557554
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aleksandra-ekster_still-life-bowl-of-cherries-1914.jpg,1,Cubism,7,3,7,2.7571187,-0.7786892,7,7,4.255589,-1.1694411
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aleksandra-ekster_still-life-with-egg-1915.jpg,1,Cubism,0,5,0,-3.6362448,2.5420053,3,3,0.5441782,4.162074
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aleksandra-ekster_three-female-figures-1910.jpg,1,Cubism,4,3,4,2.3300664,0.47135854,7,7,3.2617483,0.6823074
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aleksandra-ekster_venice-1915.jpg,1,Cubism,3,4,3,4.2292285,-1.6004007,5,5,7.021482,-0.5033923
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aleksandra-ekster_view-of-paris-1912.jpg,1,Cubism,7,2,7,0.9870174,1.9074402,6,6,0.7641783,-0.3214141
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aleksandra-ekster_view-of-the-bridge-1938-1.jpg,1,Cubism,3,1,3,3.6489818,0.06267923,7,7,5.411983,0.9379862
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aleksandra-ekster_view-of-the-bridge-1938.jpg,1,Cubism,6,5,6,-1.3808553,3.949651,5,5,-2.487105,2.681206
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aleksandra-ekster_wine-1914.jpg,1,Cubism,7,3,7,1.144068,0.24336602,7,7,3.3529665,-0.0010451317
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aleksandra-ekster_women-s-costume-for-the-spanish-dance-1920-2.jpg,1,Cubism,5,1,5,3.323072,-1.0676937,7,7,4.8308024,0.55836445
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/amadeo-de-souza-cardoso_basque-landscape-1914.jpg,1,Cubism,4,3,4,0.0075325053,-0.9190862,0,0,2.092072,-1.1116163
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/amadeo-de-souza-cardoso_composition-with-guitar.jpg,1,Cubism,2,3,2,0.5053977,-0.47024155,0,0,2.6971314,0.7383822
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/amadeo-de-souza-cardoso_untitled-boats-1913.jpg,1,Cubism,7,7,7,0.37757254,0.66029507,7,7,2.0122948,-0.33678436
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/andr-lhote_le-port-de-bordeaux-1915.jpg,1,Cubism,7,2,7,-0.19554411,1.8100818,4,4,-0.71737003,-0.34295228
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/andr-lhote_sur-la-terrasse-1945.jpg,1,Cubism,7,3,7,-0.12835586,-0.43038747,0,0,1.0339521,-1.2547954
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/andre-derain_a-village.jpg,1,Cubism,4,6,4,2.3196204,1.9514322,6,6,3.0697,2.3199182
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/andre-derain_vista-de-saint-paul-de-vence-1910.jpg,1,Cubism,4,6,4,2.2912114,2.085063,6,6,3.027947,2.461939
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/andre-masson_birds-and-masks.jpg,1,Cubism,2,7,2,1.1712545,0.599399,0,0,1.0689037,0.6447943
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/andre-masson_reclining-nude-1956.jpg,1,Cubism,1,0,1,-1.5508938,3.056089,4,4,-1.5607668,3.342648
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aristarkh-lentulov_churches-new-jerusalem-1917.jpg,1,Cubism,4,6,4,-0.06236618,-0.74664855,6,6,2.6962438,2.165986
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aristarkh-lentulov_gursuf-1913.jpg,1,Cubism,2,5,2,-0.1485773,3.1015446,7,7,0.32729715,2.4623508
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aristarkh-lentulov_landscape-with-dry-trees-and-tall-buildings-1920.jpg,1,Cubism,4,7,4,1.8439094,1.3238,6,6,3.2287073,1.4164417
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aristarkh-lentulov_landscape-with-white-house-and-the-yellow-gate-1922.jpg,1,Cubism,4,7,4,-0.383074,-0.9790693,6,6,1.3952056,1.6918449
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aristarkh-lentulov_saint-basil-s-cathedral-1913.jpg,1,Cubism,2,3,2,2.7125733,-0.9875493,7,7,3.8953776,-0.9367526
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aristarkh-lentulov_the-gate-with-a-tower-new-jerusalem.jpg,1,Cubism,5,3,5,2.030813,-0.85794616,7,7,3.2283804,0.5182271
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aristarkh-lentulov_tverskoi-boulevard-1917.jpg,1,Cubism,4,7,4,2.3565698,-0.782997,6,6,3.0829854,1.7022375
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/aristarkh-lentulov_victory-battle-1914.jpg,1,Cubism,7,3,7,0.43604565,0.34850618,7,7,2.9535103,-0.06294694
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/arshile-gorky_the-raven-composition-no-3.jpg,1,Cubism,7,2,7,-0.6130076,1.3005371,0,0,0.39197978,0.43656135
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/auguste-herbin_landscape-in-ceret-1913.jpg,1,Cubism,2,7,2,1.2298596,-0.2019849,0,0,3.0475645,-1.1189922
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/auguste-herbin_villaggio-di-collina.jpg,1,Cubism,0,5,0,-3.1050506,1.982551,3,3,0.09176487,3.2055838
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/carlos-merida_faces.jpg,1,Cubism,1,0,1,-2.5789573,2.9103758,3,3,-0.60394967,4.313061
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/charles-sheeler_still-life-1925.jpg,1,Cubism,1,5,1,-1.1956668,2.055079,0,0,0.30977672,0.43114525
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/conrad-marca-relli_la-citt-1951.jpg,1,Cubism,6,0,6,-0.6385873,4.1482363,4,4,-1.3936925,3.0417912
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/corneliu-michailescu_harlequins.jpg,1,Cubism,7,2,7,-0.55295444,1.2076244,7,7,0.72937524,0.41353795
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/corneliu-michailescu_still-life-with-fruits.jpg,1,Cubism,7,2,7,-0.120367885,0.95361596,4,4,0.6892691,0.07305161
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/corneliu-michailescu_still-life-with-grapes-and-carafe.jpg,1,Cubism,4,6,4,1.4231502,1.4945146,6,6,2.0817223,1.8185779
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/david-bomberg_racehorses-1913.jpg,1,Cubism,5,7,5,1.2976876,0.31954098,7,7,2.1841574,-0.21592592
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/david-burliuk_advent-of-spring-and-summer-1914.jpg,1,Cubism,7,2,7,1.1127048,2.045527,6,6,0.4627253,-0.95827
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/david-burliuk_at-the-siberian-village-1931.jpg,1,Cubism,6,5,6,-0.67195445,4.200984,1,1,-2.3859591,2.392162
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/david-burliuk_bridge-repetition-of-composition-of-1911.jpg,1,Cubism,1,3,1,-1.3479223,1.8085467,4,4,-0.074727036,2.019647
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/david-burliuk_broadway-new-york.jpg,1,Cubism,7,3,7,0.9738274,1.0992823,7,7,0.61060846,-1.5469196
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/david-burliuk_cubo-futurist-composition.jpg,1,Cubism,7,7,7,0.58075523,0.9506424,7,7,1.7374144,-0.3475254
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/david-burliuk_farmer-and-his-wife-out-for-a-stroll.jpg,1,Cubism,2,7,2,0.11045685,0.7917637,7,7,1.2675607,-0.012571745
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/david-burliuk_futuristic-composition.jpg,1,Cubism,7,3,7,0.48948845,1.2677119,7,7,-0.08820091,-1.3674339
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/david-burliuk_horses-1908-1.jpg,1,Cubism,4,4,4,2.4268346,2.1555042,6,6,3.4639623,1.6972958
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/david-burliuk_japan-and-america-1921.jpg,1,Cubism,6,5,6,-0.9406549,4.064613,1,1,-2.2961614,2.898458
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/david-burliuk_landscape-with-a-carriage-and-a-mill-a-landscape-from-four-points-of-view.jpg,1,Cubism,2,7,2,-0.5782988,0.67356426,7,7,1.1363341,0.9423985
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/david-burliuk_sunrise-on-the-steppes.jpg,1,Cubism,2,7,2,1.9266803,-0.59018284,0,0,3.2990685,0.3246824
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/david-burliuk_three-woman-1930.jpg,1,Cubism,2,7,2,-0.031149508,0.86428064,7,7,1.968436,0.4458259
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/david-burliuk_untitled-view-of-village-from-all-sides.jpg,1,Cubism,7,2,7,0.08821382,0.3841865,0,0,1.0650493,-0.35034034
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/david-burliuk_vase-with-flowers.jpg,1,Cubism,7,3,7,0.21605304,-0.47057042,6,6,0.8015943,-1.367775
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/david-burliuk_wind.jpg,1,Cubism,2,7,2,0.15511769,0.71548915,7,7,2.6205084,0.0075868145
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/david-burliuk_woman-with-four-eyes-and-hen-1912.jpg,1,Cubism,2,7,2,1.1672317,-0.30925262,0,0,3.0255642,-0.75040334
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/david-burliuk_workers-1922.jpg,1,Cubism,4,7,4,-0.15947323,-1.364394,0,0,3.3141222,1.4976454
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/diego-rivera_view-of-toledo-1912.jpg,1,Cubism,7,2,7,-0.010346067,-0.13790603,0,0,0.36170733,-0.20853928
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/diego-rivera_zapatista-landscape-the-guerrilla-1915.jpg,1,Cubism,7,3,7,0.061808676,-0.5381054,0,0,0.4495201,-0.19128428
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/el-lissitzky_flying-sun-1916.jpg,1,Cubism,7,2,7,-0.24414113,1.8999635,4,4,-0.63083404,-0.8243865
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/el-lissitzky_reminiscence-of-ravenna-1914.jpg,1,Cubism,7,5,7,-0.3196409,3.9146547,4,4,-0.75636,-0.5471523
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/fernand-leger_a-b-c-1927.jpg,1,Cubism,6,5,6,-0.9796673,4.144716,1,1,-2.2302604,2.7303789
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/fernand-leger_composition-1919.jpg,1,Cubism,2,3,2,3.036791,-0.501195,0,0,2.4298728,-1.0250404
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/fernand-leger_contrast-of-forms-1913.jpg,1,Cubism,2,7,2,-0.4153109,0.03528495,0,0,2.4445126,-0.22225069
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/fernand-leger_fishermen-1921.jpg,1,Cubism,2,7,2,-0.3548328,0.95652616,7,7,1.7240803,1.1424538
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/fernand-leger_the-great-tug-1923.jpg,1,Cubism,6,5,6,-0.39347398,2.5495863,7,7,-1.4236603,1.8511488
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/fernand-leger_the-house-under-the-trees-1913.jpg,1,Cubism,7,3,7,1.6058362,-0.048086908,7,7,2.1123877,-0.78274584
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/fernand-leger_the-mask-negro.jpg,1,Cubism,6,5,6,-0.6872689,4.277747,1,1,-2.5360084,2.5593798
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/fernand-leger_three-characters-1924.jpg,1,Cubism,0,5,0,-3.2528276,1.9695854,3,3,0.19018003,4.092136
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/franz-marc_in-the-rain-1912.jpg,1,Cubism,5,7,5,1.4902419,-0.31922314,7,7,3.2933478,-0.79844743
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/franz-marc_stables-1913.jpg,1,Cubism,2,2,2,-0.3062012,0.89239204,7,7,0.6471529,0.89633465
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/franz-marc_the-enchanted-mill-1913.jpg,1,Cubism,4,3,4,2.399177,-1.2698122,7,7,3.879886,-1.1277089
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/georges-braque_cafe-bar-1919.jpg,1,Cubism,5,1,5,2.7214346,-0.29999402,7,7,5.454684,0.57868785
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/georges-braque_checkerboard-tivoli-cinema-1913.jpg,1,Cubism,2,7,2,-0.09927032,1.5997268,7,7,1.8020658,0.5200699
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/georges-braque_plate-and-fruit-dish-1908.jpg,1,Cubism,2,2,2,-1.2175583,1.5800716,4,4,0.35493365,1.0559889
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/georges-braque_still-life-with-le-jour-1929.jpg,1,Cubism,2,7,2,0.16920514,0.7358738,0,0,1.7412988,0.2516585
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/georges-braque_the-musician-s-table-1913.jpg,1,Cubism,2,7,2,-1.3339611,1.1203674,4,4,0.67985713,1.4991534
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/georges-braque_violin-and-sheet-music-on-a-table-petit-oiseau-1913.jpg,1,Cubism,0,0,0,-2.0876782,2.114921,3,3,0.15492469,3.4556766
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/gino-severini_flowers-and-masks-1930.jpg,1,Cubism,0,5,0,-3.2338653,2.3461013,3,3,-0.010467883,4.0300827
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/giuseppe-santomaso_la-graticola-1948.jpg,1,Cubism,6,5,6,-0.40152818,2.8320093,1,1,-1.7114921,1.8769323
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/gosta-adrian-nilsson_phone-box-i-1915.jpg,1,Cubism,5,3,5,2.6746233,-0.29945776,7,7,4.4666247,-1.0720022
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/gosta-adrian-nilsson_still-life-1923.jpg,1,Cubism,0,5,0,-3.5349538,2.1880634,3,3,0.26807436,4.8819447
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/gosta-adrian-nilsson_stockholm-fr-n-atelj-n-1919.jpg,1,Cubism,5,1,5,2.2018027,-0.033757765,7,7,5.385796,1.0033222
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/henri-laurens_composition-1916.jpg,1,Cubism,0,5,0,-2.788642,2.0629506,3,3,0.27355185,3.646247
train,/content/bostongene_project/image_classification_project/data/processed/train/Cubism/henri-laurens_femme-allong-e-au-bras-lev-1950.jpg,1,Cubism,1,0,1,-1.5969105,3.323767,4,4,-1.412533,3.5081534
